doc_num,consolidationyear,instrumentNumber,longtitle,modifiedyear,registrationyear,regulationmaker,topic 1,topic 2,overarching topic
doc_819,2018,SOR/2017-142,CUFTA Tariff Preference Regulations,2017,2017,P.C.,export,drilling / energy,exports
doc_820,2018,SOR/95-538,"Regulations Prescribing the Travel Documents for Which Fees are Payable and the Amount of Those Fees, with a View to the Recovery of Costs of Providing Consular Services",2005,1995,P.C.,pension,travel document,pension
doc_822,2018,SOR/98-33,Most-Favoured-Nation Tariff Rules of Origin Regulations,2005,1997,P.C.,export,tariff,exports
doc_823,2018,"C.R.C., c. 1448",Order Specifying Certain Waters on the Sea Coasts of Canada as Minor Waters,2005,NA,,fabric,no topic,apparel / textile
doc_825,2018,SOR/87-603,Regulations Respecting Zoning at La Ronge Airport,2011,1987,P.C.,runway,no topic,runway
doc_828,2018,SOR/86-438,"Regulations Respecting the Issuing of, Accounting for, Repayment and Recovery of Accountable Advances",2010,1986,T.B.,finance,no topic,finance
doc_830,2018,"C.R.C., c. 1312",Order Respecting the Privileges and Immunities in Canada of the Inter-American Development Bank,2005,NA,,immunity,no topic, criminal code / immunity
doc_831,2018,"C.R.C., c. 1306",Order Respecting the Privileges and Immunities of the Caribbean Development Bank in Canada,2005,NA,,airport,immunity,airport / aircrafts
doc_832,2018,SOR/2006-15,Order Authorizing Persons Specified Therein to Be Parties to Certain Commercial Arrangements and Providing Specific Directives to the Vancouver Port Authority and the Fraser River Port Authority,2006,2006,P.C.,vessel,no topic,ship / vessel
doc_833,2018,SOR/94-501,Order Prescribing Charges To Be Paid for Ship/Shore Communications Services Provided by Coast Guard Radio Stations,2008,1994,,coast guard / communication,no topic,communication
doc_835,2018,SOR/91-444,"Regulations Respecting the Management and Proper Use of the St. Andrews Lock, Dam, Bridge and Related Facilities at Lockport, Manitoba",2006,1991,P.C.,vessel,no topic,ship / vessel
doc_836,2018,SOR/2012-205,"Marketing Authorization for Food Additives That May Be Used as Emulsifying, Gelling, Stabilizing or Thickening Agents",2012,2012,,food,no topic,agriculture / food
doc_837,2018,SOR/92-91,Order Granting Authority to the Office des producteurs d’agneaux et de moutons du Québec to Regulate the Marketing of Sheep snd Wool Produced in the Province of Quebec in Interprovincial and Export Trade,2005,1992,P.C.,poultry / food,poultry / marketing,agriculture / food
doc_838,2018,SOR/99-278,Disclosure of Charges (Authorized Foreign Banks) Regulations,2005,1999,P.C.,bank / finance,no topic,bank / finance
doc_839,2018,SOR/2012-211,"Marketing Authorization for Food Additives That May Be Used as pH Adjusting Agents, Acid-Reacting Materials or Water Correcting Agents",2012,2012,,food,no topic,agriculture / food
doc_840,2018,SOR/2014-283,CJFTA Verification of Origin Regulations,2014,2014,P.C.,verification,no topic,verification
doc_842,2018,SOR/82-550,Order Prescribing the Fees to be Paid by Persons in the Private Sector for Services Provided in Relation to the Certification of Canadian Films and Video Tapes,2011,1982,,pension,bank / finance,pension
doc_843,2018,SOR/2015-5,Canada – Newfoundland and Labrador Offshore Area Diving Operations Safety Transitional Regulations,2015,2015,,diving operation,no topic,diving operation
doc_844,2018,SOR/2016-184,Pacifiers Regulations,2016,2016,P.C.,baby products,no topic,baby products
doc_845,2018,SOR/2009-277,Order Designating Ontario for the Purposes of the Criminal Interest Rate Provisions of the Criminal Code,2009,2009,P.C.,ontario,no topic,ontario
doc_846,2018,SOR/2014-254,Products Containing Mercury Regulations,2014,2014,P.C.,mercury,no topic,mercury
doc_847,2018,SOR/55-416,Regulations — Defence Services Pension Act — Part V,2005,1955,P.C.,pension,no topic,pension
doc_848,2018,SOR/2006-190,"Exemption Order for Certain Licences, Authorizations and Documents (White Sturgeon)",2006,2006,P.C.,fishery,no topic,fishery
doc_850,2018,SOR/2010-116,"Radiocommunication Act (subsection 4(1) and paragraph 9(1)(b)) Exemption Order (Security, Safety and International Relations), No. 2010–4",2010,2010,P.C.,export,no topic,exports
doc_852,2018,SOR/2016-190,Residential Detectors Regulations,2016,2016,P.C.,fire alarm / smoke detector,no topic,fire alarm / smoke detector
doc_853,2018,SOR/91-8,"Regulations Respecting the Designation of Towns, Visitor Centres and Resort Subdivisions in National Parks",2008,1990,P.C.,national park,no topic,national park
doc_854,2018,SOR/95-100,"Regulations Respecting the Issuance of Certificates of Fitness for Petroleum Production, Drilling, Accommodation and Diving Installations in Areas Offshore Newfoundland",2006,1995,P.C.,diving operation,drilling,diving operation
doc_855,2018,SOR/2010-65,"Telecommunications Fees Regulations, 2010",2010,2010,,pension,telecommunication,pension
doc_856,2018,SOR/2002-359,Precursor Control Regulations,2006,2002,P.C.,permit / export,no topic,exports
doc_860,2018,SOR/75-24,Regulations Prescribing the Terms and Conditions in Respect of Home Buyer Grants,2006,1974,P.C.,housing,no topic,estate / land
doc_861,2018,SOR/82-381,Regulations Respecting the Determination and Payment out of the Foreign Claims Fund of Certain claims against the Government of the People’s Republic of China,2006,1982,P.C.,claims,no topic,claims
doc_862,2018,SOR/2013-162,Least Developed Country Tariff Withdrawal Order (2013 GPT Review),2013,2013,P.C.,export,financial,exports
doc_863,2018,SOR/99-318,Canada Port Authority Environmental Assessment Regulations,2008,1999,P.C.,environmental assessment / project,no topic,environment
doc_864,2018,"C.R.C., c. 135","Order Providing for the Fixing, Imposing and Collecting of Levies from Certain Turkey Producers in Alberta",2005,NA,,food,no topic,agriculture / food
doc_865,2018,SOR/83-810,Regulations Respecting Steering Appliances and Equipment,2010,1983,P.C.,diving operation,detainee,diving operation
doc_867,2018,SOR/2003-31,Regulations Prescribing Alternative Means of Publication (Foreign Companies),2005,2003,P.C.,railway,permit / export,railway
doc_869,2018,"C.R.C., c. 647",Canadian Turkey Marketing Agency Proclamation,2010,NA,,poultry / food,no topic,agriculture / food
doc_873,2018,SOR/97-62,Regulations Defining Certain Expressions for the Purposes of the Customs Tariff,2008,1996,P.C.,export,fuel / emissions / electricity,exports
doc_874,2018,SOR/82-361a,"Order Approving the Exclusion by the Public Service Commission of all Positions and Employees of the Staff of the Non-Public Funds, Canadian Forces from the Operation of the Public Service Employment Act",2011,1982,P.C.,pension,housing,pension
doc_875,2018,SOR/92-356,Regulations Defining Certain Expressions and Prescribing Certain International Agencies in Respect of Commercial Loans,2008,1992,P.C.,bank / debt,no topic,bank / debt
doc_876,2018,SOR/2008-138,Outward Processing Remission Order (Textiles and Apparel),2008,2008,P.C.,apparel,no topic,apparel / textile
doc_877,2018,SOR/86-766,Order Respecting the Delegation of Powers Conferred on the Minister of National Revenue by Sections 131 to 133 of the Customs Act,2005,1986,,custom / national revenue,no topic,economics
doc_878,2018,"C.R.C., c. 690",Regulations Under Section 52 of the Financial Administration Act Respecting Loans of Defence Materiel,2005,NA,,airport,no topic,airport / aircrafts
doc_880,2018,SOR/2011-265,Personal Health Information Custodians in New Brunswick Exemption Order,2011,2011,P.C.,airport,no topic,airport / aircrafts
doc_881,2018,SOR/2017-87,Order Declaring an Amnesty Period (2017),2017,2017,P.C.,pension,firearm,pension
doc_884,2018,SOR/2009-317,Nova Scotia Offshore Petroleum Drilling and Production Regulations,2009,2009,P.C.,drilling / energy,no topic,energy / pipeline / oil
doc_885,2018,SOR/88-447,Regulations Respecting Zoning at Kingston Airport,2011,1988,P.C.,airport,no topic,airport / aircrafts
doc_887,2018,SOR/95-302,Order Authorizing a Certain Employee of the Government of Canada to Acquire an Interest in Territorial Lands in the Northwest Territories,2006,1995,P.C.,fire alarm / smoke detector,no topic,fire alarm / smoke detector
doc_888,2018,SOR/98-447,Regulations Defining “Advertising Revenues”,2008,1998,,poultry / food,no topic,agriculture / food
doc_889,2018,SOR/2000-60,Portions of the Canada Ports Corporation Divestiture Regulations,2008,2000,T.B.,pension,fabric,pension
doc_890,2018,SOR/93-384,"Order Extending the Privileges and Immunities of Members of the Administrative and Technical Staff of the Embassy of the United States, and Members of their Families, in Canada",2005,1993,,privilege immunity,no topic, criminal code / immunity
doc_892,2018,SOR/2016-231,Cannabis Exemption (Food and Drugs Act) Regulations,2016,2016,P.C.,cannabis / food,no topic,cannabis / drugs
doc_893,2018,SOR/2003-374,Organizations in the Province of Quebec Exemption Order,2005,2003,P.C.,electronic,export,electronic document
doc_894,2018,SOR/2012-167,Reduction of Carbon Dioxide Emissions from Coal-fired Generation of Electricity Regulations,2012,2012,P.C.,fuel / emissions / electricity,no topic,environment
doc_897,2018,SOR/96-202,Order Authorizing a Certain Employee of the Government of Canada to Acquire an Interest in Territorial Lands in the Northwest Territories,2008,1996,P.C.,fire alarm / smoke detector,no topic,fire alarm / smoke detector
doc_898,2018,SOR/67-346,Regulations Respecting the Dry Docks of Canadian Vickers Limited,2016,1967,P.C.,vessel / ships,no topic,ship / vessel
doc_902,2018,SOR/94-27,Order According Reciprocal Protection to Switzerland under the Act,2008,1994,,integrated circuit,no topic,integrated circuit
doc_903,2018,SOR/93-409,Regulations Respecting Zoning at Gillam Airport,2011,1993,P.C.,runway,airport,runway
doc_905,2018,SOR/2008-306,2010 Olympic and Paralympic Winter Games Remission Order,2008,2008,P.C.,claims,no topic,claims
doc_907,2018,"C.R.C., c. 487",Regulations Respecting a Drawback on Customs Duties Paid on Woven Fabrics Used in the Manufacture of Men’s and Boys’ Shirts,2005,NA,,fabric,no topic,apparel / textile
doc_908,2018,SOR/2014-137,"International Development Association, International Finance Corporation and Multilateral Investment Guarantee Agency Privileges and Immunities Order",2014,2014,P.C.,international agreement,no topic,international policy
doc_912,2018,SOR/93-408,Regulations Respecting Zoning at Swift Current Airport,2011,1993,P.C.,airport,drilling,airport / aircrafts
doc_913,2018,SOR/93-420,Regulations Respecting Broadcasting Information Requirements,2005,1993,,housing,no topic,estate / land
doc_914,2018,SOR/82-627,Regulations Respecting the Insurance of Loans Made to the Lake Group Ltd.,2006,1982,P.C.,detainee,no topic,criminal code / immunity
doc_915,2018,SOR/88-485,Regulations Respecting the Carrying into Effect of the Diplomatic Service (Special) Superannuation Act,NA,1988,P.C.,detainee,no topic,criminal code / immunity
doc_916,2018,SOR/2009-92,Regulations Implementing the United Nations Resolutions on Somalia,2009,2009,P.C.,united nation,no topic,united nation
doc_917,2018,SOR/2002-172,Vessels Registry Fees Tariff,2006,2002,P.C.,pension,food,pension
doc_919,2018,"C.R.C., c. 322",Regulations Respecting Payments in Lieu of Development and Redevelopment Taxes on Federal Property,2006,NA,,property supply,property,estate / land
doc_920,2018,SOR/2013-35,"Exemption Order for Certain Licences, Authorizations and Documents (Westslope Cutthroat Trout (Alberta Population))",2013,2013,P.C.,cannabis,tariff,cannabis / drugs
doc_921,2018,SOR/98-308,Theratronics International Limited Divestiture Regulations,2008,1998,P.C.,property supply,display panel,estate / land
doc_922,2018,SOR/84-886,Regulations Respecting the Stoppage of Pay and Allowances of Members of the Royal Canadian Mounted Police who are Suspended from Duty,2005,1984,T.B.,property,no topic,estate / land
doc_923,2018,"C.R.C., c. 450",Regulations Respecting the Redemption of Subsidiary Coin,2005,NA,,property supply,trade / commerce,estate / land
doc_924,2018,SOR/2016-230,Access to Cannabis for Medical Purposes Regulations,2016,2016,P.C.,cannabis,no topic,cannabis / drugs
doc_925,2018,SOR/98-446,Divestiture of Service Transitional Coverage Regulations,2008,1998,T.B.,property supply,superannuation,estate / land
doc_926,2018,"C.R.C., c. 478",Regulations Respecting Special Customs and Excise Services,2006,NA,,property supply,drilling / energy,estate / land
doc_927,2018,SOR/93-385,Regulations Respecting Zoning at Aklavik Airport,2011,1993,P.C.,airport,airport,airport / aircrafts
doc_928,2018,SOR/93-391,"Order Extending Duty and Tax Relief Privileges to Members of the Administrative and Technical Staff of the Embassy of the United States, and Members of their Families, in Canada",2005,1993,P.C.,public work,no topic,public work
doc_929,2018,SOR/95-465,Order Respecting Australia and New Zealand Rates of Customs Duty,2009,1995,P.C.,tariff / free trade,no topic,tariff
doc_933,2018,SOR/2004-321,Nunavut Sex Offender Information Registration Regulations,2008,2004,,tariff / free trade,no topic,tariff
doc_934,2018,SOR/84-5,Regulations Respecting Zoning at Hamilton Airport,2011,1983,P.C.,airport,no topic,airport / aircrafts
doc_935,2018,SOR/2009-316,Newfoundland Offshore Petroleum Drilling and Production Regulations,2009,2009,P.C.,drilling / energy,no topic,energy / pipeline / oil
doc_937,2018,"C.R.C., c. 691",Regulations Under Section 52 of the Financial Administration Act Respecting Loans or Transfers of Defence Materiel for Test and Evaluation Purposes,2005,NA,,property supply,airport,estate / land
doc_938,2018,SOR/2014-321,Allocation Method Order (2015) — Softwood Lumber Products,2015,2014,,baby products / crib,no topic,baby products
doc_939,2018,SOR/82-1015,Regulations Respecting the Prevention of Electric Sparks that May Cause Fire During the Transfer of Flammable Liquids or Compressed Flammable Gases Between Units of Railway Rolling Stock and Stationary Bulk Storage Facilities,2011,1982,,railway / flammable liquid,no topic,railway
doc_940,2018,SOR/97-63,CIFTA Rules of Origin Regulations,2006,1996,P.C.,change,no topic,change
doc_941,2018,SOR/2001-258,"Order Authorizing Federal Employees to Acquire Interests in Certain Lands in the Northwest Territories (Order No. 1, 2001)",2008,2001,P.C.,marketing,no topic,marketing
doc_942,2018,SOR/92-343,Regulations Respecting Zoning at Repulse Bay Airport,2005,1992,P.C.,airport,airport,airport / aircrafts
doc_943,2018,SOR/97-77,General Import Permit No. 193 — Roses,2008,1996,,permit,no topic,permit
doc_945,2018,SOR/2002-416,Regulations Respecting Applications for Ministerial Review — Miscarriages of Justice,2008,2002,P.C.,application,no topic,application
doc_946,2018,"C.R.C., c. 646",Canadian Egg Marketing Agency Proclamation,2012,NA,,marketing,no topic,marketing
doc_948,2018,SOR/2010-58,Haiti Deemed Direct Shipment (General Preferential Tariff and Least Developed Country Tariff) Regulations,2010,2010,P.C.,change,tariff,change
doc_955,2018,SOR/2016-191,Restraint Systems and Booster Seats for Motor Vehicles Regulations,2016,2016,P.C.,vehicle,motor,automobile
doc_958,2018,SOR/2015-97,Exemption Regulations (Consumer Products),2015,2015,P.C.,property supply,display panel,estate / land
doc_959,2018,SOR/2014-255,Apprentice Loans Regulations,2014,2014,P.C.,loan,no topic,loan
doc_960,2018,SOR/2016-185,Tents Regulations,2016,2016,P.C.,flammable,no topic,flammable
doc_962,2018,SOR/2010-117,New Harmonized Value-added Tax System Regulations,2010,2010,P.C.,property supply,no topic,estate / land
doc_963,2018,SOR/2001-476,Canadian Payments Association Membership Requirements Regulations,2008,2001,P.C.,requirement,no topic,requirement
doc_964,2018,SOR/2015-4,Canada – Newfoundland and Labrador Offshore Marine Installations and Structures Transitional Regulations,2015,2015,,standard equipment,no topic,equipment
doc_967,2018,SOR/2012-210,Marketing Authorization for Food Additives That May Be Used as Sweeteners,2012,2012,,food,no topic,agriculture / food
doc_968,2018,SOR/99-279,Notices of Deposit Restrictions (Authorized Foreign Banks) Regulations,2005,1999,P.C.,bank / finance,no topic,bank / finance
doc_969,2018,SOR/81-33a,Order Approving the Exclusion by the Public Service Commission of Persons who are not Ordinarily Required to Work the Normal Scheduled Daily or Weekly Hours of Work Established for Persons Doing Similar Work and of Certain other Persons from the Operation of the Public Service Employment Act,2011,1980,P.C.,public work,no topic,public work
doc_970,2018,"C.R.C., c. 732","Regulations Prescribing the Fees for the Search, Reproduction and Certification of Documents",2005,NA,,finance,no topic,finance
doc_971,2018,SOR/2016-152,"Cribs, Cradles and Bassinets Regulations",2016,2016,P.C.,baby products / crib,no topic,baby products
doc_973,2018,SOR/2016-146,CPAFTA Verification of Origin Regulations,2016,2016,P.C.,verification,verification,verification
doc_974,2018,SOR/2012-204,Marketing Authorization for Food Additives That May Be Used as Colouring Agents,2012,2012,,food,no topic,agriculture / food
doc_975,2018,SOR/90-130,Regulations Respecting the Release Into the Ambient Air of Mercury from Mercury Cell Chlor-Alkali Plants,2005,1990,P.C.,mercury / pollution,no topic,environment
doc_976,2018,SOR/2015-68,Low-value Amounts Regulations,2015,2015,,property supply,finance,estate / land
doc_978,2018,"C.R.C., c. 1307",Order Respecting the Privileges and Immunities of the Commonwealth Secretariat in Canada,2005,NA,,privilege immunity,no topic, criminal code / immunity
doc_979,2018,SOR/2007-194,North American Leaders’ Summit 2007 Privileges and Immunities Order,2007,2007,P.C.,loan,population,loan
doc_980,2018,SOR/82-42,Order Granting Authority to Regulate the Marketing in Interprovincial and Export Trade of Hogs Produced in the Province of New Brunswick,2011,1981,P.C.,marketing,marketing,marketing
doc_981,2018,"C.R.C., c. 281","Order Providing for the Fixing, Imposing and Collecting of Levies from Certain Turkey Producers in Saskatchewan",2005,NA,,poultry / marketing,no topic,agriculture / food
doc_982,2018,SOR/87-602,Regulations Respecting Zoning at Sarnia Airport,2011,1987,P.C.,airport,airport,airport / aircrafts
doc_983,2018,SOR/81-690,Order Respecting the Granting of Certain Privileges to the Great Lakes Fishery Commission,2005,1981,P.C.,permit,no topic,permit
doc_985,2018,SOR/97-164,Regulations Establishing the Period Within Which Owners of Copyright not Represented by Collective Societies Can Claim Retransmission Royalties,NA,1997,,loan,no topic,loan
doc_986,2018,SOR/91-690,Regulations Respecting Criteria for Establishing a Manner of Determining Royalties for the Retransmission of Distant Signals,2013,1991,P.C.,tariff,no topic,tariff
doc_987,2018,SOR/2003-215,Order Extending the Time for the Assessment of the Status of Wildlife Species,2008,2003,P.C.,population,no topic,population
doc_988,2018,SOR/2013-215,CEFTA Verification of Origin of Imported Goods Regulations,2013,2013,P.C.,change,officer service,change
doc_989,2018,SOR/2018-14,Quebec Sheep Marketing Levies (Interprovincial and Export Trade) Order,2018,2018,,marketing,flammable,marketing
doc_990,2018,SOR/2005-293,Basin Head Marine Protected Area Regulations,2006,2005,P.C.,cannabis,zoning,cannabis / drugs
doc_991,2018,SOR/2003-201,Regulations Respecting the Information to be Displayed on Alcohol Containers and their Packaging,2005,2003,P.C.,cannabis,tariff,cannabis / drugs
doc_994,2018,SOR/95-505,Regulations Respecting Zoning at Holman Airport,2011,1995,P.C.,airport,airport,airport / aircrafts
doc_996,2018,SOR/88-532,Order Respecting the Remission of Customs Duties on Satellites and Satellite Subsystems for Testing and on Goods for Use in the Manufacture of Satellites and Satellite Subsystems,NA,1988,P.C.,satellite,no topic,satellite
doc_998,2018,"C.R.C., c. 268",Order Granting Authority to Regulate the Marketing in Interprovincial and Export Trade of Broiler Chickens Produced in Saskatchewan,2005,NA,,property supply,poultry / marketing,estate / land
doc_999,2018,SOR/98-256,Order Designating the Province of New Brunswick for the Purposes of the Definition “applicable guidelines” in Subsection 2(1) of the Divorce Act,2008,1998,P.C.,divorce guideline,no topic,divorce
doc_1001,2018,SOR/2002-66,CCFTA Remission Order,2008,2002,P.C.,property supply,tariff,estate / land
doc_1002,2018,SOR/95-507,Regulations Respecting Zoning at Wrigley Airport,2011,1995,P.C.,airport,airport,airport / aircrafts
doc_1004,2018,SOR/93-581,Order Respecting the Extension of the Benefit of the Mexico Tariff and the United States Tariff to Certain Textile and Apparel Goods,2008,1993,,tariff,no topic,tariff
doc_1005,2018,SOR/88-518,"Order Respecting the Exemption of Certain Property, Rights, Interests, Obligations and Liabilities of Her Majesty from the Application of Subsection 4(4) of the Eldorado Nuclear Limited Reorganization and Divestiture Act",2005,1988,P.C.,nuclear,no topic,nuclear
doc_1006,2018,SOR/2017-141,CUFTA Rules of Origin Regulations,2017,2017,P.C.,public work,no topic,public work
doc_1007,2018,SOR/2003-203,Regulations Respecting the Possession of Tobacco Products or Cannabis Products That Are Not Stamped,2005,2003,P.C.,cannabis,cannabis,cannabis / drugs
doc_1008,2018,"C.R.C., c. 240",Regulations Respecting the Information Required from Persons Engaged in the Production in Prince Edward Island of Certain Vegetables and the Marketing of them in Interprovincial and Export Trade,2005,NA,,cannabis,food / agriculture,cannabis / drugs
doc_1009,2018,SOR/2005-291,United Nations Framework Convention on Climate Change Privileges and Immunities Order,2006,2005,P.C.,loan,no topic,loan
doc_1010,2018,SOR/2013-217,CCOFTA Verification of Origin Regulations,2013,2013,P.C.,verification,no topic,verification
doc_1011,2018,SOR/92-745,Regulations Respecting the Loan of Public Property,2008,1992,P.C.,property supply,loan,estate / land
doc_1013,2018,"C.R.C., c. 1305",Order Respecting the Privileges and Immunities of the Asian Development Bank in Canada,2005,NA,,privilege immunity,no topic, criminal code / immunity
doc_1014,2018,SOR/93-9,Regulations Respecting the Status and Admissibility into Evidence of Documents Translated by Official Translators in New Brunswick,2008,1992,,document translation,no topic,communication
doc_1017,2018,SOR/2000-303,Criminal Records Regulations,2008,2000,P.C.,criminal record,no topic,criminal code / immunity
doc_1018,2018,"C.R.C., c. 1311",Order Respecting the Privileges and Immunities in Canada of the Inter-American Institute of Agricultural Science (I.I.C.A.),2005,NA,,tariff,privilege immunity,tariff
doc_1020,2018,SOR/92-584,"Order Requiring Persons in Canada to Give Notice of Communications Relating to, and Prohibiting such Persons from Complying with, an Extraterritorial Measure of the United States that Adversely Affects Trade or Commerce Between Canada and Cuba",2008,1992,,adaptation,no topic,finance
doc_1023,2018,SOR/2016-178,Charcoal Regulations,2016,2016,P.C.,display panel,no topic,communication
doc_1024,2018,SOR/2014-280,Regulations Prescribing an Oath of Secrecy,2014,2014,P.C.,cannabis,royal canadian police,cannabis / drugs
doc_1026,2018,"C.R.C., c. 730",Regulations Respecting Revenue Trust Accounts,2005,NA,,cannabis,finance,cannabis / drugs
doc_1027,2018,SOR/2012-212,Marketing Authorization for Food Additives That May Be Used as Preservatives,2012,2012,,food,no topic,agriculture / food
doc_1028,2018,SOR/2012-206,Marketing Authorization for Food Additives That May Be Used as Food Enzymes,2012,2012,,food,no topic,agriculture / food
doc_1030,2018,SOR/2015-56,Divestiture Regulations for Former Employees of Atomic Energy of Canada Limited (CANDU Reactor Division),2015,2015,,property supply,energy,estate / land
doc_1031,2018,SOR/91-484,Regulations Respecting Zoning at Port Hardy Airport,2011,1991,P.C.,airport,no topic,airport / aircrafts
doc_1033,2018,SOR/2015-6,Canada – Nova Scotia Offshore Area Diving Operations Safety Transitional Regulations,2015,2015,,diving operation,no topic,diving operation
doc_1034,2018,SOR/2016-193,Surface Coating Materials Regulations,2016,2016,P.C.,display panel,no topic,communication
doc_1035,2018,"C.R.C., c. 1107",Regulations Respecting the Maximum Interest Rates Payable on Loans Made Under the National Housing Act,2005,NA,,loan,flammable,loan
doc_1037,2018,SOR/2001-474,Financial Consumer Agency of Canada Assessment of Financial Institutions Regulations,2008,2001,P.C.,finance,no topic,finance
doc_1038,2018,SOR/2016-187,Lighters Regulations,2016,2016,P.C.,flammable,no topic,flammable
doc_1040,2018,SOR/88-652,Order Authorizing Atomic Energy of Canada Limited to Procure the Incorporation of a Corporation and to Hold and Acquire Shares Thereof,2011,1988,P.C.,nuclear,no topic,nuclear
doc_1044,2018,SOR/83-813,Regulations Respecting Advances to the Unemployment Insurance Account from the Consolidated Revenue Fund,2010,1983,,finance / insurance,no topic,finance
doc_1045,2018,SOR/2002-414,Sheshatshiu Innu First Nation Band Order,2010,2002,P.C.,names,no topic,names
doc_1046,2018,SOR/2017-47,Muskowekwan First Nation Solution Potash Mining Regulations,2017,2017,P.C.,adaptation,no topic,finance
doc_1047,2018,SOR/2013-161,General Preferential Tariff Withdrawal Order (2013 GPT Review),2013,2013,P.C.,display panel,no topic,communication
doc_1048,2018,SOR/89-469,Order Authorizing Petro-Canada Limited and its Wholly-Owned Subsidiaries to Undertake Certain Transactions in Relation to the Completion of the Acquisition of the Assets and Undertaking Comprising the Propane Business of Inter-City Gas Corporation,2011,1989,P.C.,acquisition,no topic,finance
doc_1051,2018,SOR/2002-400,CCRFTA Sugar Aggregate Quantity Limit Order,2009,2002,P.C.,tariff / free trade,trade / commerce,tariff
doc_1053,2018,SOR/92-433,"Tariff of Fees, Costs, Allowances and Expenses to be Paid and Allowed to Returning Officers and other Persons Employed at or with respect to a Referendum under the Referendum Act",2016,1992,P.C.,officer service,no topic,officer service
doc_1054,2018,SOR/97-204,Export Permits Regulations,2008,1997,P.C.,cannabis,permit / export,cannabis / drugs
doc_1055,2018,SOR/87-210,Regulations Respecting the Provision of a Loan to General Motors of Canada Limited,2006,1987,P.C.,verification,no topic,verification
doc_1056,2018,SOR/97-61,Regulations prescribing a territory for the purposes of the definition “country” in the Customs Tariff,2008,1996,P.C.,tariff,no topic,tariff
doc_1057,2018,SOR/82-361b,"Regulations Respecting the Appointment of Persons to the Staff of the Non-Public Funds, Canadian Forces",2011,1982,P.C.,public work,bank / finance,public work
doc_1058,2018,SOR/97-75,CIFTA Verification of Origin Regulations,2005,1996,P.C.,verification,no topic,verification
doc_1059,2018,SOR/2002-399,Imports of Certain Textile and Apparel Goods From Costa Rica Customs Duty Remission Order,2008,2002,P.C.,free trade,no topic,trade
doc_1060,2018,"C.R.C., c. 687",Order Authorizing the Minister of National Defence to Rent Floating Equipment,2005,NA,,property supply,equipment,estate / land
doc_1062,2018,SOR/97-238,"Destruction of Paid Instruments Regulations, 1996",2008,1997,T.B.,cannabis,tariff,cannabis / drugs
doc_1064,2018,SOR/90-54,"Order Authorizing the Maximum Amounts That May Be Paid in the Year 1990 as Benefits Under Sections 24, 25 and 26 of the Unemployment Insurance Act",2008,1989,P.C.,insurance,no topic,insurance
doc_1066,2018,SOR/93-608,Regulations Prescribing a Class of Goods for the Purposes of Subsection 35.02(4) of the Customs Act,2008,1993,P.C.,vehicle,member council,automobile
doc_1067,2018,SOR/2015-130,Canadian Payments Association Reporting Requirements Regulations,2015,2015,P.C.,finance,no topic,finance
doc_1068,2018,SOR/2010-99,"Nova Scotia HST Regulations, 2010",2010,2010,P.C.,passenger transportation,no topic,transport
doc_1069,2018,SOR/88-450,Regulations Respecting Zoning at Wiarton Airport,2011,1988,P.C.,runway,no topic,runway
doc_1071,2018,SOR/93-387,Regulations Respecting Zoning at Grand Manan Airport,2011,1993,P.C.,runway,airport,runway
doc_1072,2018,SOR/2014-16,Iqaluit Airport Zoning Regulations,2014,2014,P.C.,airport,no topic,airport / aircrafts
doc_1073,2018,SOR/78-73,Regulations Respecting Conversion of Values Expressed in Gold Francs into Canadian Dollar Equivalents for Purposes of the Canada Shipping Act,2013,1978,P.C.,currency,no topic,economics
doc_1076,2018,"C.R.C., c. 320","Regulations Respecting the Leasing of the Lands and any Buildings or Structures Thereon, Described in Instrument 592102 Registered in the Registry Office of the Registry Division of the City of Ottawa in tthe Province of Ontario on the 7th Day of June, 1971",2006,NA,,insurance,no topic,insurance
doc_1078,2018,SOR/2003-363,Antarctic Environmental Protection Regulations,2010,2003,P.C.,antarctic / vessel,no topic,ship / vessel
doc_1080,2018,SOR/2002-164,National Capital Commission Animal Regulations,2008,2002,P.C.,animal,no topic,wild life
doc_1081,2018,"C.R.C., c. 334",Regulations Respecting the Making of Contributions by Canada to the Provinces Toward the Cost of Certain Benefits in Respect of Care Provided in Nursing Homes,2006,NA,,care benefit,no topic,benefits
doc_1082,2018,SOR/2012-170,Order Establishing a List of Foreign State Supporters of Terrorism,2012,2012,P.C.,foreign,no topic,foreign policy
doc_1084,2018,SOR/96-201,Order Respecting the Remission of Customs Duties on Billiard Cloth for the Manufacture or Repair of Billiard Tables,2008,1996,P.C.,softwood,no topic,wood production
doc_1085,2018,SOR/93-436,Regulations Defining Programming Undertaking,2008,1993,P.C.,privacy,no topic,privacy
doc_1086,2018,"C.R.C., c. 1517",Regulations Respecting the Drilling and Production of Oil and Gas Belonging to Her Majesty in Right of Canada under all Lands Forming Part of Canada but not Within any Province,2006,NA,,energy / drilling,no topic,energy / pipeline / oil
doc_1087,2018,SOR/2010-277,Canadian Radio-television and Telecommunications Commission Rules of Practice and Procedure,2010,2010,,telecommunication,no topic,communication
doc_1088,2018,SOR/2000-277,Deposit Insurance Application Fee By-law,2006,2000,,insurance,insurance,insurance
doc_1089,2018,SOR/2014-121,"Expiry of Section 12.2 of the Softwood Lumber Products Export Charge Act, 2006 Regulations",2014,2014,P.C.,softwood,no topic,wood production
